Date;text;approval_date
2017-04-03;honor welcome president al sisi egypt whitehouse renew historic partnership betwe c looking forward hosting heroes wounded warrior project wwp soldier ride whitehouse th c getting ready meet president al sisi egypt behalf united states look forward long wonderful relationship foxnews multiple sources electronic surveillance trump people close trump unprecedented fbi hillary clinton ever apologize receiving answers debate asking brother john podesta paid big money get sanctions russia lifted hillary know amazing reporting unmasking crooked scheme us foxandfriends spied nomination real story melania honored light whitehouse evening worldautismawarenessday join us liub c;40.41075
2017-04-04;great talk jobs nabtu tremendous spirit optimism deliver thank sean mcgarvey entire governing board presidents honoring w invite speak nabtu c whitehouse ceotownhall;40.38835
2017-04-05;deeply committed preserving strong relationship strengthening america long standing support c;40.40128
2017-04-06;honor host american heroes wwp soldierridedc whitehouse today flotus vp c jobs jobs jobs;40.41701
2017-04-08;judge gorsuch sworn rose garden white house monday great justice proud reason generally hit runways easy inexpensive quickly fix fill top congratulations great military men women representing united states world well syria attack goodwill friendship formed time tell trade great honor president xi jinping madame peng liyuan china guests united states tremendous;41.51326
2017-04-09;confidence president al sisi handle situation properly sad hear terrorist attack egypt u strongly condemns great;41.64417
2017-04-10;happy passover everyone celebrating united states america israel around world chagsameach congratulations justice neil gorsuch elevation united states supreme court great day americ c thank usnavy usa;41.44421
2017-04-11;great strategic policy ceo forum today cabinet secretaries top ceo around united states c ron estes running today congress great state kansas wonderful guy need help healthcare tax cuts reform north korea looking trouble china decides help would great solve problem without u explained president china trade deal u far better solve north korean problem;41.27088
2017-04-12;one one keeping promises border energy jobs regulations big changes happening economic confidence soaring unleash power private sector job creation stand american workers americafirst great meeting w nato sec gen agreed importance getting countries pay fair share focus c great win kansas last night ron estes easily winning congressional race dems spent heavily predicted victory good call last night president china concerning menace north korea interviewed mariabartiromo foxbusiness enjoy;41.23275
2017-04-13;great honor welcome atlanta heroic first responders white house afternoon things work fine u russia right time everyone come senses lasting peace great confidence china properly deal north korea unable u allies u jobs returning illegal immigration plummeting law order justice restored truly making america great;41.34031
2017-04-14;weekly address;41.62966
2017-04-16;military building rapidly becoming stronger ever frankly choice someone look paid small organized rallies yesterday election almost impossible thing republican easily electoral college tax returns brought happy easter everyone would call china currency manipulator working us north korean problem see happens;41.92009
2017-04-17;see tomorrow wisconsin trump spurs small business optimism milwaukee area trump approval hits super liberal democrat georgia congressioal race tomorrow wants protect criminals allow illegal immigration raise taxes fake media real media gotten even worse since election every story badly slanted hold truth great book reading enjoyment reasons vote democrats michael j knowles first days presidency exposed total failure last eight years foreign policy true foxandfriends recent kansas election congress really big media event republicans play game georgia bad;42.02447
2017-04-18;buyamericanhireamerican watch learned jon ossoff running congress georgia even live district republicans get vote republicans must get today vote georgia force runoff easy win dem ossoff raise taxes bad crime nd democrat jon ossoff would disaster congress weak crime illegal immigration bad jobs wants higher taxes say interviewed foxandfriends ainsleyearhardt starting enjoy weak illegal immigration policies obama admin allowed bad ms gangs form cities across u removing fast eleven republican candidates running georgia tuesday congress runoff win vote r lower taxes safety;41.89439
2017-04-19;today signed veterans heroes choice program extension improvement act whitehouse watch c buyamericanhireamerican dems failed kansas failing georgia great job karen handel hollywood vs georgia june th despite major outside money fake media support eleven republican candidates big r win runoff georgia glad help;41.88213
2017-04-20;great honor host pm paolo gentiloni italy white house afternoon icymi joint press conference c going use american steel going use american labor going come first deals c failing nytimes calling wrong two years got caught big lie concerning new england patriots visit w h great honor host superbowl champion new england patriots white house today congratulations c;41.63386
2017-04-21;welcome home aya godblesstheusa china much economic lifeline north korea nothing easy want solve north korean problem matter much accomplish ridiculous standard first days lot including c media kill another terrorist attack paris people france take much big effect presidential election;41.76186
